source,Area,year,month,Date,people_affected,people_dead,houses_affected,flood
Statistique inondation mspc 2017,Bamako,2017,7,10/07/2017,,0,,1
Desinventar 26/8/2019,Bamako,2013,9,06/09/2013,7077,3,382,1
Desinventar 26/8/2019,Bamako,2013,9,04/09/2013,6984,29,88,1
Desinventar 26/8/2019,Bamako,2010,8,01/08/2010,1544,5,171,1
Desinventar 26/8/2019,Bamako,1996,8,04/08/1996,1500,0,7500,1
Desinventar 26/8/2019,Bamako,1999,8,21/08/1999,889,0,131,1
Desinventar 26/8/2019,Bamako,1999,8,11/08/1999,589,0,0,1
Desinventar 26/8/2019,Bamako,1974,8,23/08/1974,500,0,100,1
Desinventar 26/8/2019,Bamako,1999,8,21/08/1999,460,0,90,1
Desinventar 26/8/2019,Bamako,2013,9,05/09/2013,333,0,14,1
Desinventar 26/8/2019,Bamako,1999,8,05/08/1999,294,7,49,1
Desinventar 26/8/2019,Bamako,1999,8,05/08/1999,294,7,74,1
Desinventar 26/8/2019,Bamako,2010,8,01/08/2010,210,0,23,1
Desinventar 26/8/2019,Bamako,2007,9,10/09/2007,197,0,5,1
Desinventar 26/8/2019,Bamako,2012,8,11/08/2012,134,0,4,1
Desinventar 26/8/2019,Bamako,1954,8,25/08/1954,124,0,279,1
Desinventar 26/8/2019,Bamako,1998,8,05/08/1998,123,7,324,1
Desinventar 26/8/2019,Bamako,2014,8,23/08/2014,108,0,0,1
Desinventar 26/8/2019,Bamako,1999,8,04/08/1999,102,0,0,1
Desinventar 26/8/2019,Bamako,1954,8,25/08/1954,90,0,216,1
Desinventar 26/8/2019,Bamako,1954,8,25/08/1954,86,0,257,1
Desinventar 26/8/2019,Bamako,2009,9,02/09/2009,78,0,0,1
Desinventar 26/8/2019,Bamako,2009,9,02/09/2009,72,0,0,1
Desinventar 26/8/2019,Bamako,2012,8,19/08/2012,70,0,10,1
Desinventar 26/8/2019,Bamako,1954,8,25/08/1954,45,0,121,1
Desinventar 26/8/2019,Bamako,1954,8,25/08/1954,45,0,110,1
Desinventar 26/8/2019,Bamako,2009,9,02/09/2009,24,0,3,1
Desinventar 26/8/2019,Bamako,2013,9,13/09/2013,23,0,3,1
Desinventar 26/8/2019,Bamako,2009,9,02/09/2009,16,0,0,1
Desinventar 26/8/2019,Bamako,1954,8,25/08/1954,14,0,40,1
Desinventar 26/8/2019,Bamako,2012,8,19/08/2012,12,4,1,1
Desinventar 26/8/2019,Bamako,2010,8,27/08/2010,11,1,1,1
Desinventar 26/8/2019,Bamako,1954,8,25/08/1954,9,0,13,1
Desinventar 26/8/2019,Bamako,1954,8,25/08/1954,8,0,25,1
Desinventar 26/8/2019,Bamako,1954,8,25/08/1954,7,0,21,1
Desinventar 26/8/2019,Bamako,2013,9,13/09/2013,7,0,0,1
Desinventar 26/8/2019,Bamako,2007,4,04/04/2007,6,0,0,1
Desinventar 26/8/2019,Bamako,2010,9,18/09/2010,6,0,4,1
Desinventar 26/8/2019,Bamako,1954,8,25/08/1954,5,0,27,1
Desinventar 26/8/2019,Bamako,2002,8,08/08/2002,5,1,0,1
Desinventar 26/8/2019,Bamako,2013,9,15/09/2013,4,1,1,1
Desinventar 26/8/2019,Bamako,2010,9,26/09/2010,4,0,0,1
Desinventar 26/8/2019,Bamako,2010,11,18/11/2010,4,0,0,1
Desinventar 26/8/2019,Bamako,2007,2,26/02/2007,4,0,0,1
Desinventar 26/8/2019,Bamako,2007,2,26/02/2007,4,0,0,1
Desinventar 26/8/2019,Bamako,2007,1,22/01/2007,4,0,0,1
Desinventar 26/8/2019,Bamako,2007,3,31/03/2007,3,0,0,1
Desinventar 26/8/2019,Bamako,2010,8,27/08/2010,3,0,1,1
Desinventar 26/8/2019,Bamako,1999,8,21/08/1999,3,2,5,1
Desinventar 26/8/2019,Bamako,1954,8,25/08/1954,2,0,11,1
Desinventar 26/8/2019,Bamako,2010,11,09/11/2010,2,0,0,1
Desinventar 26/8/2019,Bamako,2007,1,19/01/2007,2,0,0,1
Desinventar 26/8/2019,Bamako,2010,9,03/09/2010,2,0,372,1
Desinventar 26/8/2019,Bamako,2010,8,04/08/2010,1,1,1,1
Desinventar 26/8/2019,Bamako,1999,8,10/08/1999,0,1,10,1
Desinventar 26/8/2019,Bamako,1999,8,11/08/1999,0,0,0,1
Desinventar 26/8/2019,Bamako,2014,8,06/08/2014,0,0,42,1
Desinventar 26/8/2019,Bamako,2014,8,06/08/2014,0,0,14,1
Desinventar 26/8/2019,Bamako,2014,6,02/06/2014,0,0,27,1
Desinventar 26/8/2019,Bamako,2013,9,13/09/2013,0,0,0,1
Desinventar 26/8/2019,Bamako,2013,9,13/09/2013,0,0,0,1
Desinventar 26/8/2019,Bamako,2013,9,13/09/2013,0,0,0,1
Desinventar 26/8/2019,Bamako,2013,9,13/09/2013,0,0,2,1
Desinventar 26/8/2019,Bamako,2013,9,13/09/2013,0,0,0,1
Desinventar 26/8/2019,Bamako,2013,9,13/09/2013,0,0,0,1
Desinventar 26/8/2019,Bamako,2003,8,07/08/2003,0,1,0,1
Desinventar 26/8/2019,Bamako,2003,7,17/07/2003,0,0,95,1
Desinventar 26/8/2019,Bamako,1997,5,05/05/1997,0,0,0,1
Desinventar 26/8/2019,Bamako,1998,9,22/09/1998,0,0,0,1
Desinventar 26/8/2019,Bamako,2010,9,19/09/2010,0,0,31,1
Desinventar 26/8/2019,Bamako,1999,8,21/08/1999,0,0,5,1
Desinventar 26/8/2019,Bamako,1999,8,21/08/1999,0,0,1,1
Desinventar 26/8/2019,GAO,2010,8,01/08/2010,1931,0,259,1
Desinventar 26/8/2019,MENAKA,2012,8,07/08/2012,700,0,150,1
Desinventar 26/8/2019,ANSONGO,2006,7,29/07/2006,415,0,22,1
Desinventar 26/8/2019,MENAKA,2012,8,07/08/2012,350,0,30,1
Desinventar 26/8/2019,ANSONGO,2010,8,28/08/2010,175,0,0,1
Desinventar 26/8/2019,GAO,2009,9,02/09/2009,158,2,12,1
Desinventar 26/8/2019,GAO,2008,8,18/08/2008,153,0,6,1
Desinventar 26/8/2019,ANSONGO,2010,8,28/08/2010,80,0,0,1
Desinventar 26/8/2019,ANSONGO,2009,6,04/06/2009,58,3,3,1
Desinventar 26/8/2019,BOUREM,2009,8,05/08/2009,54,0,10,1
Desinventar 26/8/2019,GAO,2010,8,28/08/2010,33,0,15,1
Desinventar 26/8/2019,GAO,2010,8,28/08/2010,24,0,8,1
Desinventar 26/8/2019,GAO,2010,8,28/08/2010,22,0,1,1
Desinventar 26/8/2019,GAO,2010,8,28/08/2010,20,0,5,1
Desinventar 26/8/2019,GAO,2010,7,20/07/2010,4,2,1,1
Desinventar 26/8/2019,BOUREM,2011,7,18/07/2011,0,0,0,1
Desinventar 26/8/2019,ANSONGO,1998,8,17/08/1998,0,1,100,1
Desinventar 26/8/2019,GAO,2010,6,14/06/2010,0,0,0,1
DREF2018,GAO,2018,8,07/08/2018,,,152,1
DREF2018,BOUREM,2018,8,07/08/2018,,,53,1
DREF2018,ansongo,2018,8,07/08/2018,,,,1
Desinventar 26/8/2019,YELIMANE,2007,8,15/08/2007,6101,0,0,1
Desinventar 26/8/2019,KITA,2009,5,16/05/2009,5367,0,916,1
Desinventar 26/8/2019,KAYES,1906,8,21/08/1906,3012,1000,1183,1
Desinventar 26/8/2019,KITA,2012,8,24/08/2012,2800,0,21,1
Desinventar 26/8/2019,NIORO,2012,8,30/08/2012,2779,0,115,1
Desinventar 26/8/2019,KAYES,2007,8,15/08/2007,2494,0,0,1
Desinventar 26/8/2019,BAFOULABE,2012,8,09/08/2012,2240,0,264,1
Desinventar 26/8/2019,KAYES,2012,8,21/08/2012,1840,0,344,1
Desinventar 26/8/2019,KITA,2009,9,04/09/2009,1800,6,0,1
Desinventar 26/8/2019,KITA,2009,8,07/08/2009,1757,0,177,1
Desinventar 26/8/2019,KAYES,2011,8,30/08/2011,1590,0,112,1
Desinventar 26/8/2019,KAYES,2012,8,21/08/2012,1298,0,359,1
Desinventar 26/8/2019,KAYES,2011,8,31/08/2011,1176,0,280,1
Desinventar 26/8/2019,KAYES,2012,8,21/08/2012,1045,0,350,1
Desinventar 26/8/2019,KAYES,2012,8,21/08/2012,1027,0,108,1
Desinventar 26/8/2019,KAYES,2012,6,02/06/2012,966,0,0,1
Desinventar 26/8/2019,YELIMANE,2012,8,28/08/2012,910,0,7,1
Desinventar 26/8/2019,KAYES,2007,7,16/07/2007,881,0,126,1
Desinventar 26/8/2019,KITA,2007,8,27/08/2007,765,0,161,1
Desinventar 26/8/2019,KITA,2009,6,08/06/2009,515,0,103,1
Desinventar 26/8/2019,KITA,2009,5,23/05/2009,460,0,79,1
Desinventar 26/8/2019,KAYES,2012,8,21/08/2012,453,0,66,1
Desinventar 26/8/2019,YELIMANE,2012,7,13/07/2012,450,0,151,1
Desinventar 26/8/2019,KAYES,2012,8,21/08/2012,410,0,109,1
Statistique inondation mspc 2017,yelimane,2017,8,21/08/2017,400,,,1
Desinventar 26/8/2019,BAFOULABE,2007,8,15/08/2007,370,0,0,1
Desinventar 26/8/2019,KITA,2012,8,01/08/2012,329,0,0,1
Desinventar 26/8/2019,KAYES,2012,8,21/08/2012,325,0,114,1
Desinventar 26/8/2019,KAYES,2010,9,10/09/2010,320,0,0,1
Statistique inondation mspc 2017,yelimane,2017,6,22/06/2017,314,0,16,1
Desinventar 26/8/2019,KITA,2013,8,13/08/2013,313,0,36,1
Desinventar 26/8/2019,KITA,2007,8,27/08/2007,307,0,92,1
Desinventar 26/8/2019,KITA,2007,8,27/08/2007,306,0,0,1
Desinventar 26/8/2019,KITA,2009,9,05/09/2009,300,0,0,1
Desinventar 26/8/2019,KITA,2009,5,09/05/2009,300,0,0,1
Statistique inondation mspc 2017,kayes,2017,6,22/06/2017,276,0,26,1
Desinventar 26/8/2019,KITA,2007,8,27/08/2007,251,0,114,1
Desinventar 26/8/2019,YELIMANE,2013,8,13/08/2013,237,0,0,1
Desinventar 26/8/2019,KAYES,2012,6,02/06/2012,210,0,0,1
Desinventar 26/8/2019,KITA,2007,8,27/08/2007,209,0,141,1
Desinventar 26/8/2019,KAYES,2012,8,14/08/2012,200,0,29,1
Desinventar 26/8/2019,KITA,2007,8,27/08/2007,176,0,102,1
Desinventar 26/8/2019,BAFOULABE,2012,9,24/09/2012,175,0,0,1
Desinventar 26/8/2019,KITA,2007,8,27/08/2007,168,0,0,1
Desinventar 26/8/2019,BAFOULABE,2012,8,26/08/2012,161,0,31,1
Desinventar 26/8/2019,BAFOULABE,2013,5,17/05/2013,157,0,70,1
Desinventar 26/8/2019,YELIMANE,2010,9,12/09/2010,152,24,1,1
Desinventar 26/8/2019,BAFOULABE,2012,9,24/09/2012,147,0,1,1
Desinventar 26/8/2019,KITA,2010,9,10/09/2010,135,7,10,1
Desinventar 26/8/2019,KITA,2007,8,27/08/2007,123,0,44,1
Desinventar 26/8/2019,KITA,2009,6,11/06/2009,106,0,40,1
Desinventar 26/8/2019,NIORO,2009,8,25/08/2009,103,0,45,1
Desinventar 26/8/2019,NIORO,2009,8,27/08/2009,100,0,30,1
Desinventar 26/8/2019,KITA,2009,6,08/06/2009,96,0,26,1
Desinventar 26/8/2019,KITA,2009,6,11/06/2009,96,0,4,1
Desinventar 26/8/2019,BAFOULABE,2012,8,09/08/2012,91,0,5,1
Desinventar 26/8/2019,KAYES,2010,9,10/09/2010,84,0,0,1
Desinventar 26/8/2019,KITA,2009,9,05/09/2009,70,0,32,1
Desinventar 26/8/2019,BAFOULABE,1954,8,20/08/1954,57,0,43,1
Desinventar 26/8/2019,KENIEBA,2012,8,08/08/2012,56,0,13,1
Desinventar 26/8/2019,BAFOULABE,2012,6,24/06/2012,50,0,38,1
Desinventar 26/8/2019,NIORO,2009,8,27/08/2009,50,0,20,1
Desinventar 26/8/2019,KITA,2007,8,27/08/2007,48,0,0,1
Desinventar 26/8/2019,KAYES,2012,8,21/08/2012,47,0,24,1
Desinventar 26/8/2019,KITA,2007,8,27/08/2007,38,0,0,1
Desinventar 26/8/2019,KAYES,2010,8,13/08/2010,37,0,0,1
Desinventar 26/8/2019,DIEMA,2012,7,25/07/2012,36,0,46,1
Desinventar 26/8/2019,KENIEBA,2012,8,08/08/2012,35,0,28,1
Desinventar 26/8/2019,KENIEBA,2012,8,08/08/2012,35,0,22,1
Desinventar 26/8/2019,YELIMANE,2012,8,25/08/2012,34,0,90,1
Desinventar 26/8/2019,KAYES,2009,9,05/09/2009,32,0,6,1
Desinventar 26/8/2019,DIEMA,2012,7,22/07/2012,29,1,94,1
Desinventar 26/8/2019,DIEMA,2012,7,25/07/2012,28,0,48,1
Desinventar 26/8/2019,YELIMANE,2012,8,25/08/2012,28,0,78,1
Desinventar 26/8/2019,KAYES,2013,6,28/06/2013,28,0,108,1
Desinventar 26/8/2019,NIORO,2009,8,15/08/2009,25,0,4,1
Desinventar 26/8/2019,BAFOULABE,2010,6,10/06/2010,24,0,3,1
Desinventar 26/8/2019,KAYES,2013,6,28/06/2013,23,0,120,1
Desinventar 26/8/2019,KENIEBA,2012,8,08/08/2012,21,0,11,1
Desinventar 26/8/2019,KITA,2010,9,10/09/2010,18,18,14,1
Desinventar 26/8/2019,BAFOULABE,2009,9,05/09/2009,16,0,0,1
Desinventar 26/8/2019,YELIMANE,2012,8,25/08/2012,15,0,217,1
Desinventar 26/8/2019,YELIMANE,2012,8,25/08/2012,15,0,8,1
Desinventar 26/8/2019,KENIEBA,2012,8,08/08/2012,14,1,13,1
Desinventar 26/8/2019,BAFOULABE,2012,8,09/08/2012,13,0,698,1
Desinventar 26/8/2019,BAFOULABE,2010,9,12/09/2010,12,12,0,1
Desinventar 26/8/2019,KENIEBA,2010,9,12/09/2010,12,12,0,1
Desinventar 26/8/2019,KAYES,2007,8,30/08/2007,9,2,0,1
Desinventar 26/8/2019,DIEMA,2012,7,22/07/2012,8,0,37,1
Desinventar 26/8/2019,KAYES,2013,6,28/06/2013,8,0,1,1
Desinventar 26/8/2019,YELIMANE,2012,8,24/08/2012,7,0,0,1
Desinventar 26/8/2019,KENIEBA,2012,8,08/08/2012,7,0,2,1
Desinventar 26/8/2019,DIEMA,2012,7,19/07/2012,7,1,0,1
Desinventar 26/8/2019,KITA,2010,9,12/09/2010,7,7,0,1
Desinventar 26/8/2019,DIEMA,2012,7,22/07/2012,6,0,10,1
Desinventar 26/8/2019,KAYES,2012,8,14/08/2012,6,0,0,1
Desinventar 26/8/2019,KAYES,2012,8,14/08/2012,4,0,11,1
Desinventar 26/8/2019,KAYES,2012,8,14/08/2012,4,0,2,1
Desinventar 26/8/2019,YELIMANE,2010,9,12/09/2010,4,4,0,1
Desinventar 26/8/2019,DIEMA,2012,7,22/07/2012,2,0,2,1
Desinventar 26/8/2019,KAYES,2012,8,14/08/2012,2,0,2,1
Desinventar 26/8/2019,KAYES,1995,7,17/07/1995,2,1,0,1
Desinventar 26/8/2019,KITA,2010,9,12/09/2010,2,2,0,1
Desinventar 26/8/2019,BAFOULABE,2010,9,05/09/2010,2,2,0,1
Desinventar 26/8/2019,NIORO,2004,8,15/08/2004,1,1,1,1
Desinventar 26/8/2019,KENIEBA,2010,9,12/09/2010,1,1,0,1
Desinventar 26/8/2019,BAFOULABE,2010,9,21/09/2010,1,1,0,1
Desinventar 26/8/2019,BAFOULABE,2012,8,30/08/2012,0,0,2,1
Desinventar 26/8/2019,BAFOULABE,2012,8,30/08/2012,0,0,17,1
Desinventar 26/8/2019,BAFOULABE,2012,8,30/08/2012,0,0,6,1
Desinventar 26/8/2019,NIORO,2012,8,03/08/2012,0,0,5,1
Desinventar 26/8/2019,KAYES,2012,6,02/06/2012,0,0,2,1
Desinventar 26/8/2019,KAYES,2012,6,02/06/2012,0,0,33,1
Desinventar 26/8/2019,KAYES,2012,6,02/06/2012,0,0,11,1
Desinventar 26/8/2019,BAFOULABE,2012,8,24/08/2012,0,0,4,1
Desinventar 26/8/2019,KITA,2014,6,02/06/2014,0,0,136,1
Desinventar 26/8/2019,KAYES,1999,8,05/08/1999,0,0,0,1
Desinventar 26/8/2019,KAYES,1998,8,13/08/1998,0,0,50,1
Desinventar 26/8/2019,KAYES,1999,8,01/08/1999,0,0,0,1
Desinventar 26/8/2019,KAYES,2004,8,15/08/2004,0,0,0,1
Desinventar 26/8/2019,KITA,2007,8,27/08/2007,0,0,0,1
Desinventar 26/8/2019,KITA,2007,8,27/08/2007,0,0,0,1
Desinventar 26/8/2019,KITA,2007,8,27/08/2007,0,0,32,1
Desinventar 26/8/2019,KITA,2007,8,27/08/2007,0,0,124,1
Desinventar 26/8/2019,KITA,2007,8,27/08/2007,0,0,0,1
Desinventar 26/8/2019,KITA,2007,8,27/08/2007,0,0,23,1
Desinventar 26/8/2019,KITA,2007,8,27/08/2007,0,0,0,1
Desinventar 26/8/2019,KITA,2010,9,12/09/2010,0,0,10,1
Desinventar 26/8/2019,KITA,2010,9,12/09/2010,0,0,0,1
Desinventar 26/8/2019,NIORO,2010,9,12/09/2010,0,0,0,1
Desinventar 26/8/2019,BAFOULABE,2010,8,15/08/2010,0,0,0,1
Desinventar 26/8/2019,KAYES,2010,9,12/09/2010,0,0,0,1
Desinventar 26/8/2019,KAYES,2010,9,12/09/2010,0,0,0,1
Desinventar 26/8/2019,KAYES,2010,4,04/04/2010,0,0,0,1
Desinventar 26/8/2019,KAYES,2010,9,14/09/2010,0,0,6,1
Desinventar 26/8/2019,BAFOULABE,2010,5,08/05/2010,0,0,0,1
Desinventar 26/8/2019,YELIMANE,2004,8,15/08/2004,0,0,28,1
Desinventar 26/8/2019,YELIMANE,2004,8,15/08/2004,0,0,11,1
Desinventar 26/8/2019,YELIMANE,2004,8,15/08/2004,0,0,41,1
Desinventar 26/8/2019,YELIMANE,2004,8,15/08/2004,0,0,13,1
Desinventar 26/8/2019,YELIMANE,2004,8,15/08/2004,0,0,0,1
Desinventar 26/8/2019,KAYES,2004,1,31/01/2004,0,0,41,1
Desinventar 26/8/2019,BAFOULABE,2010,8,21/08/2010,0,0,0,1
DREF2018,kayes,2018,8,07/08/2018,,,13,1
DREF2018,kita,2018,8,07/08/2018,,1,650,1
Statistique inondation mspc 2017,nioro,2017,6,18/06/2017,,0,7,1
Statistique inondation mspc 2017,kayes,2017,6,22/06/2017,,0,,1
Statistique inondation mspc 2017,yelimane,2017,8,21/08/2017,,0,,1
Desinventar 26/8/2019,TESSALIT,2010,8,01/08/2010,912,0,141,1
Desinventar 26/8/2019,KIDAL,2010,8,01/08/2010,630,1,97,1
Desinventar 26/8/2019,TESSALIT,2010,7,16/07/2010,56,0,8,1
Desinventar 26/8/2019,KIDAL,2004,8,15/08/2004,0,0,7,1
DREF2018,tessalit,2018,8,07/08/2018,,,,1
Desinventar 26/8/2019,NARA,2003,8,01/08/2003,12954,0,0,1
Desinventar 26/8/2019,DIOILA,2007,8,31/08/2007,3709,0,1378,1
Desinventar 26/8/2019,KATI,2013,9,03/09/2013,1088,28,171,1
Desinventar 26/8/2019,BANAMBA,2012,5,14/05/2012,913,0,387,1
Desinventar 26/8/2019,BANAMBA,2007,8,31/08/2007,900,0,50,1
Desinventar 26/8/2019,DIOILA,2007,8,31/08/2007,900,0,448,1
Desinventar 26/8/2019,KANGABA,2011,8,19/08/2011,788,0,35,1
Desinventar 26/8/2019,KANGABA,2011,8,21/08/2011,788,0,41,1
Desinventar 26/8/2019,BANAMBA,2007,8,31/08/2007,700,0,51,1
Desinventar 26/8/2019,KOLOKANI,2010,9,01/09/2010,582,1,25,1
Desinventar 26/8/2019,KANGABA,2007,8,31/08/2007,550,0,0,1
Desinventar 26/8/2019,KOULIKORO,2009,9,02/09/2009,542,0,86,1
Desinventar 26/8/2019,BANAMBA,2012,5,14/05/2012,508,0,150,1
Desinventar 26/8/2019,BANAMBA,2012,5,14/05/2012,505,0,186,1
Desinventar 26/8/2019,KATI,2010,8,01/08/2010,458,0,31,1
Desinventar 26/8/2019,BANAMBA,2012,5,14/05/2012,451,0,153,1
Desinventar 26/8/2019,KATI,2010,9,01/09/2010,435,1,62,1
